1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
800,0.0130868638367975,800,0.00221950753259266
799,0.0129708305703473,799,0.00209328363056896
798,0.0134615828528679,798,0.0023316621786593
797,0.0141730502246766,797,0.00252246968353068
796,0.0125985598004977,796,0.00164326578256965
795,0.0132322559273263,795,0.00196023153868143
794,0.0135539778153972,794,0.00222739123991953
793,0.0133751072282362,793,0.00264295846923546
792,0.0142166462471537,792,0.00199112428611599
791,0.0129893671379239,791,0.00155214910239486
790,0.0135543784143895,790,0.00211432707087353
789,0.0137656523887236,789,0.00230797978321479
788,0.013612789702304,788,0.00214119860736032
787,0.0135322124922624,787,0.00251109176989165
786,0.0138016986345721,786,0.00196496412344485
785,0.0133716902061672,785,0.00241328525186595
784,0.0137000339911396,784,0.00190560252184893
783,0.0136261450096542,783,0.00248898770508061
782,0.0137538424829618,782,0.00296912551990963
781,0.0140714590545467,781,0.00234576813115798
780,0.0135319454398569,780,0.00221102555185277
779,0.0134739188466487,779,0.00178653975707513
778,0.0144483937747801,778,0.00224500650905274
777,0.0141629943400358,777,0.00307404397420764
776,0.0142036204740198,776,0.00243684323240921
775,0.0139183550665146,775,0.00253035889246997
774,0.0143620960434942,774,0.00280740525298098
773,0.0143094962880743,773,0.00248016201468395
772,0.0147396313432857,772,0.00333179479984595
771,0.0147322402372443,771,0.00289813421682045
770,0.0143466579166295,770,0.00281199075386154
769,0.0138876712542785,769,0.00227186011092856
768,0.0146004265275198,768,0.00292101487461301
767,0.0146749902055893,767,0.00304031090409112
766,0.0143567180548628,766,0.00275871334688248
765,0.0145499125595145,765,0.00316519371907415
764,0.01451471419525,764,0.00310428604805235
763,0.0147262685296703,763,0.00294809274572203
762,0.0143407450185857,762,0.00290488362492048
761,0.0144470556945798,761,0.00305660359767899
760,0.0149257626476183,760,0.00314589841259504
759,0.0151676462586009,759,0.00314336922651184
758,0.0148236202821878,758,0.00355803955174452
757,0.0146541592790652,757,0.0033019802996566
756,0.0149070628782296,756,0.0028622781164159
755,0.0148681656508302,755,0.00318368151285081
754,0.0150994571405152,754,0.00307719843698345
753,0.0157407076238403,753,0.00327581930523968
752,0.0157291659762981,752,0.00356325936613658
751,0.0152513694754799,751,0.00332292588075929
750,0.0154291371063822,750,0.00357748367877456
749,0.0153763275081389,749,0.00325503248010663
748,0.0153502335154673,748,0.00389939088230207
747,0.0156025500873598,747,0.00370823867924179
746,0.0153205746218459,746,0.00313489525677674
745,0.0153787680336708,745,0.00343090424789246
744,0.0153973003838102,744,0.00355015775090092
743,0.0151659306777984,743,0.00345096890266184
742,0.0153958520964134,742,0.00378377552670781
741,0.0154604396810171,741,0.00357852768337493
740,0.0156466118786441,740,0.00368562978920513
739,0.0156858472725793,739,0.00380939262925303
738,0.0161339778965167,738,0.00395973097261131
737,0.0160613659410748,737,0.00369975368069023
736,0.0160354456344675,736,0.00351369975849766
735,0.0161007194156237,735,0.00382346831658067
734,0.0161381958341568,734,0.00371296424261445
733,0.0163242556972306,733,0.003884581414209
732,0.0161274227116801,732,0.00390550287349328
